iteration,f1,score,feature_count
1,0.9739776951672863,0.9039776951672862,7
2,0.9739776951672863,0.9039776951672862,7
3,0.9739776951672863,0.9039776951672862,7
4,0.9739776951672863,0.9039776951672862,7
5,0.9739776951672863,0.9039776951672862,7
6,0.9739776951672863,0.9039776951672862,7
7,0.9739776951672863,0.9039776951672862,7
8,0.9888751545117429,0.9088751545117429,8
9,0.9888751545117429,0.9088751545117429,8
10,0.9888751545117429,0.9088751545117429,8
11,0.9888751545117429,0.9088751545117429,8
12,0.9889025893958077,0.9089025893958077,8
13,0.9728395061728395,0.9128395061728396,6
14,0.9728395061728395,0.9128395061728396,6
15,0.9728395061728395,0.9128395061728396,6
16,0.9728395061728395,0.9128395061728396,6
17,0.9728395061728395,0.9128395061728396,6
18,0.9851851851851852,0.9151851851851851,7
19,0.9851851851851852,0.9151851851851851,7
20,0.9851851851851852,0.9151851851851851,7
21,0.9851851851851852,0.9151851851851851,7
22,0.9851851851851852,0.9151851851851851,7
23,0.9851851851851852,0.9151851851851851,7
24,0.9851851851851852,0.9151851851851851,7
25,0.9851851851851852,0.9151851851851851,7
26,0.9851851851851852,0.9151851851851851,7
27,0.9851851851851852,0.9151851851851851,7
28,0.9851851851851852,0.9151851851851851,7
29,0.9851851851851852,0.9151851851851851,7
30,0.9851851851851852,0.9151851851851851,7
