feature_count,features,precision,recall,f1,roc_auc
4,"verification_frequency, key_size, algorithm, hour",0.4691358024691358,0.6333333333333333,0.5390070921985816,0.7410119047619046
1,failed_attempts,1.0,0.36666666666666664,0.5365853658536586,0.7553571428571428
3,"verification_frequency, key_size, hour",0.4794520547945205,0.5833333333333334,0.5263157894736842,0.7471428571428571
3,"key_size, algorithm, hour",0.5,0.55,0.5238095238095238,0.7175595238095238
2,"key_size, hour",0.5084745762711864,0.5,0.5042016806722689,0.6706547619047618
2,"verification_frequency, algorithm",0.4342105263157895,0.55,0.4852941176470588,0.6905952380952382
2,"algorithm, hour",0.5,0.4666666666666667,0.4827586206896552,0.6932142857142857
3,"verification_frequency, key_size, algorithm",0.43661971830985913,0.5166666666666667,0.4732824427480916,0.6488095238095237
1,verification_frequency,0.36633663366336633,0.6166666666666667,0.45962732919254656,0.6651190476190477
2,"verification_frequency, key_size",0.33980582524271846,0.5833333333333334,0.4294478527607362,0.6282738095238095
1,hour,0.6333333333333333,0.31666666666666665,0.4222222222222222,0.6186904761904761
2,"key_size, algorithm",0.4067796610169492,0.4,0.40336134453781514,0.608095238095238
1,algorithm,0.4067796610169492,0.4,0.40336134453781514,0.575
1,key_size,0.28888888888888886,0.65,0.4,0.49892857142857144
